City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Saint-Georges,GD,12.0564,-61.7485,83.88,70,20,20.71,few clouds
141,Broken Hill,AU,-31.95,141.4333,49.71,93,90,5.75,overcast clouds
142,Henties Bay,NA,-22.116,14.2845,81.86,32,0,4.81,clear sky
143,Ipixuna,BR,-1.7625,-48.8043,85.95,54,11,3.02,few clouds
144,Shahr-E Kord,IR,32.3256,50.8644,92.97,3,20,9.22,few clouds
145,Benalla,AU,-36.55,145.9833,45.99,93,13,3.15,few clouds
146,Wau,SS,7.7029,27.9953,92.08,40,100,5.32,overcast clouds
147,Marsh Harbour,BS,26.5412,-77.0636,78.84,76,8,17.05,clear sky
148,At-Bashi,KG,41.1702,75.8106,60.8,54,93,4.63,overcast clouds
149,Ritchie,ZA,-29.038,24.6028,65.41,21,0,19.57,clear sky
150,Boende,CD,-0.2167,20.8667,89.42,46,93,4.12,overcast clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,61,0,6.91,clear sky
152,Westport,US,41.1415,-73.3579,65.89,92,90,5.99,mist
153,Kirakira,SB,-10.4544,161.9205,79.0,89,100,10.51,moderate rain
154,Vao,NC,-22.6667,167.4833,71.38,71,100,14.74,overcast clouds
155,Rabaul,PG,-4.1967,152.1721,80.17,83,100,5.66,light rain
156,Itupiranga,BR,-5.1347,-49.3267,89.92,50,15,2.8,few clouds
157,Moranbah,AU,-22.0016,148.0466,62.82,82,77,4.61,broken clouds
158,Thompson,CA,55.7435,-97.8558,42.96,75,75,9.22,broken clouds
159,Portland,US,45.5234,-122.6762,62.04,85,75,1.99,broken clouds
160,Terrace Bay,CA,48.7834,-87.1,54.1,96,100,3.74,light rain
161,Codrington,AU,-38.2667,141.9667,51.66,89,100,11.7,light rain
162,Tual,ID,-5.6667,132.75,82.18,77,100,16.02,overcast clouds
163,Morondava,MG,-20.2833,44.2833,77.72,68,19,14.5,few clouds
164,Palmer,US,42.1584,-72.3287,67.48,73,90,1.01,overcast clouds
165,Bredasdorp,ZA,-34.5322,20.0403,66.27,55,2,13.15,clear sky
166,Rossland,CA,49.0831,-117.8022,67.71,52,0,1.03,clear sky
167,Ogbomosho,NG,8.133,4.25,94.77,42,25,4.83,scattered clouds
168,Callaway,US,30.153,-85.5699,79.92,81,75,3.0,broken clouds
169,Kurchum,KZ,48.5722,83.6542,75.11,46,85,11.12,overcast clouds
170,Fort Saint James,CA,54.4333,-124.25,54.09,68,100,5.17,overcast clouds
171,Tezu,IN,27.9167,96.1667,76.8,83,81,3.51,broken clouds
172,Barrow,US,71.2906,-156.7887,28.42,86,90,12.66,overcast clouds
173,Guerrero Negro,MX,27.9769,-114.0611,61.14,87,1,6.04,clear sky
174,Lujan,AR,-34.5703,-59.105,58.98,61,54,12.55,broken clouds
175,Anadyr,RU,64.75,177.4833,36.1,64,0,8.37,clear sky
176,Kruisfontein,ZA,-34.0033,24.7314,61.88,49,34,8.34,scattered clouds
177,Severo-Kurilsk,RU,50.6789,156.125,41.52,81,6,10.27,clear sky
178,Bahawalpur,PK,29.4,71.6833,85.14,52,100,22.55,overcast clouds
179,Listowel,IE,52.4464,-9.485,58.71,85,22,15.79,few clouds
180,Bambous Virieux,MU,-20.3428,57.7575,77.25,69,75,18.07,broken clouds
181,Ranong,TH,9.9658,98.6348,82.33,83,7,2.75,clear sky
182,Great Falls,US,47.5002,-111.3008,72.41,72,1,0.0,clear sky
183,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,38,14.81,scattered clouds
184,Cherskiy,RU,68.75,161.3,55.83,42,100,2.42,overcast clouds
185,Port Elizabeth,ZA,-33.918,25.5701,64.09,51,20,5.75,few clouds
186,Patrocinio,BR,-18.9439,-46.9925,75.96,38,0,5.44,clear sky
187,Chizhou,CN,30.6578,117.4831,62.91,95,100,7.11,light rain
188,Isla Vista,US,34.4133,-119.861,59.43,96,90,4.61,mist
189,Lavrentiya,RU,65.5833,-171.0,28.99,74,100,7.07,overcast clouds
190,Nioro,GM,13.35,-15.75,102.33,21,41,8.01,scattered clouds
191,Fasa,IR,28.9383,53.6482,105.04,8,0,13.8,clear sky
192,Urengoy,RU,65.9667,78.3667,46.11,40,92,10.71,overcast clouds
