City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Starkville,US,2021-05-31 21:00:03,33.4504,-88.8184,84.79,48,99,5.03
149,Mehamn,NO,2021-05-31 21:04:07,71.0357,27.8492,41.59,97,100,14.97
150,Vega De Alatorre,MX,2021-05-31 21:04:07,20.0333,-96.6333,86.31,63,23,10.22
151,Nikolskoye,RU,2021-05-31 21:04:08,59.7035,30.7861,50.4,92,100,4.0
152,Bukachacha,RU,2021-05-31 21:04:08,52.9833,116.9167,49.14,96,100,7.65
153,New Norfolk,AU,2021-05-31 21:04:09,-42.7826,147.0587,50.72,72,100,3.69
154,Isla Vista,US,2021-05-31 21:04:09,34.4133,-119.861,80.96,69,12,1.99
155,Pandan,PH,2021-05-31 21:04:10,14.0453,124.1694,81.0,86,94,6.89
156,Nata,PA,2021-05-31 21:04:10,8.3333,-80.5167,85.87,65,34,14.97
157,Samandag,TR,2021-05-31 21:04:11,36.0842,35.9771,73.92,91,9,7.31
158,Yuanping,CN,2021-05-31 21:04:11,38.7153,112.7575,57.78,49,8,5.12
159,Okhotsk,RU,2021-05-31 21:04:11,59.3833,143.3,38.23,90,100,8.14
160,Norman Wells,CA,2021-05-31 21:04:12,65.282,-126.8329,62.1,52,70,3.83
161,Saint-Augustin,CA,2021-05-31 21:04:12,51.226,-58.6502,45.9,89,100,5.91
162,Kodiak,US,2021-05-31 21:04:13,57.79,-152.4072,47.71,87,90,8.05
163,Youhao,CN,2021-05-31 21:04:13,47.8667,128.8333,53.71,78,100,5.93
164,Fairbanks,US,2021-05-31 21:00:06,64.8378,-147.7164,66.99,36,90,4.61
165,Souillac,MU,2021-05-31 21:01:03,-20.5167,57.5167,70.36,77,2,8.52
166,Arlit,NE,2021-05-31 21:04:14,18.7369,7.3853,93.36,8,99,7.58
167,Santa Vitoria,BR,2021-05-31 21:04:14,-18.8386,-50.1214,78.84,49,100,4.97
168,Karasjok,NO,2021-05-31 21:04:14,69.4719,25.5112,46.51,78,100,11.14
169,Jati,PK,2021-05-31 21:04:15,24.3539,68.2671,83.82,79,28,17.31
170,Ribeira Grande,PT,2021-05-31 21:04:15,38.5167,-28.7,61.23,74,77,18.41
171,Lamar,US,2021-05-31 21:04:16,33.6668,-95.5836,78.46,83,100,7.43
172,Grecia,US,2021-05-31 20:59:50,43.2098,-77.6931,72.99,56,15,8.48
173,Necochea,AR,2021-05-31 21:04:16,-38.5473,-58.7368,53.04,76,78,2.64
174,Voznesenskoye,RU,2021-05-31 21:04:16,54.89,42.7569,44.4,79,100,5.79
175,Mendoza,AR,2021-05-31 21:04:17,-32.8908,-68.8272,64.94,33,41,6.08
176,San Patricio,US,2021-05-31 21:04:17,28.017,-97.5169,88.21,59,98,15.46
177,Mogadishu,SO,2021-05-31 21:04:18,2.0371,45.3438,78.55,86,76,15.39
178,Iranshahr,IR,2021-05-31 21:04:18,27.2025,60.6848,91.11,8,0,1.45
179,Torbay,CA,2021-05-31 21:04:18,47.6666,-52.7314,58.28,70,99,14.18
180,Faanui,PF,2021-05-31 21:04:19,-16.4833,-151.75,78.48,66,32,14.54
181,Provideniya,RU,2021-05-31 21:04:19,64.3833,-173.3,44.71,61,0,13.42
182,Mangaratiba,BR,2021-05-31 21:04:20,-22.9597,-44.0406,73.02,93,100,7.52
183,Zhigansk,RU,2021-05-31 21:04:20,66.7697,123.3711,53.8,55,67,4.16
184,Olinda,BR,2021-05-31 21:04:20,-8.0089,-34.8553,74.93,88,75,10.13
185,Dikson,RU,2021-05-31 21:04:21,73.5069,80.5464,28.78,93,100,17.02
186,Pouembout,NC,2021-05-31 21:04:21,-21.1333,164.9,68.77,59,38,8.05
187,Cidreira,BR,2021-05-31 21:04:21,-30.1811,-50.2056,56.3,57,35,6.31
188,Antofagasta,CL,2021-05-31 21:04:22,-23.65,-70.4,65.23,76,18,3.65
189,Labuhan,ID,2021-05-31 21:04:22,-6.8844,112.2051,76.6,90,98,6.98
190,Yambio,SS,2021-05-31 21:04:23,4.5721,28.3955,73.53,78,91,3.8
191,Axim,GH,2021-05-31 21:04:23,4.8699,-2.2405,77.99,83,100,5.95
192,Vredendal,ZA,2021-05-31 21:04:23,-31.6683,18.5012,54.21,82,1,4.09
193,Vila Velha,BR,2021-05-31 21:00:24,-20.3297,-40.2925,76.95,85,29,5.01
194,Margate,GB,2021-05-31 21:04:24,51.3813,1.3862,58.03,65,0,3.0
195,Putina,PE,2021-05-31 21:04:24,-15.4667,-69.4333,47.14,54,100,4.65
196,Tombouctou,ML,2021-05-31 21:04:25,20.0,-3.0,95.85,7,4,6.69
197,Katsuura,JP,2021-05-31 21:04:25,35.1333,140.3,65.19,89,84,15.82
198,Tigil,RU,2021-05-31 21:04:26,57.8,158.6667,48.27,55,100,4.5
199,Bayanday,RU,2021-05-31 21:04:26,53.0661,105.5139,32.72,88,100,6.67
200,Mayo,US,2021-05-31 21:04:26,38.8876,-76.5119,77.45,55,56,4.0
201,Wuwei,CN,2021-05-31 21:04:27,37.9281,102.6414,58.44,42,49,7.38
202,Mahajanga,MG,2021-05-31 21:04:27,-15.7167,46.3167,77.02,83,40,12.66
203,Churapcha,RU,2021-05-31 21:04:27,62.0025,132.4325,52.79,69,47,3.36
204,Lagoa,PT,2021-05-31 21:04:28,39.05,-27.9833,59.85,74,76,16.44
205,Mantua,IT,2021-05-31 21:04:28,45.1667,10.7833,65.44,66,0,6.06
206,Jinotega,NI,2021-05-31 21:04:28,13.0917,-86.0018,84.6,33,14,12.08
207,Ipojuca,BR,2021-05-31 21:01:12,-8.3989,-35.0639,75.11,89,45,6.8
208,Hithadhoo,MV,2021-05-31 21:04:29,-0.6,73.0833,83.59,69,83,16.42
209,Berezovyy,RU,2021-05-31 21:04:29,51.6667,135.7,53.92,76,10,1.88
210,Isilkul,RU,2021-05-31 21:04:30,54.9109,71.2728,60.03,94,98,12.84
211,Great Falls,US,2021-05-31 21:04:30,47.5002,-111.3008,77.59,27,20,5.01
212,Guerrero Negro,MX,2021-05-31 21:04:30,27.9769,-114.0611,71.65,48,0,12.12
213,Ibadan,NG,2021-05-31 21:01:28,7.3878,3.8964,75.31,92,97,6.29
214,Touros,BR,2021-05-31 21:04:31,-5.1989,-35.4608,79.7,81,7,9.8
215,Tondano,ID,2021-05-31 21:04:31,1.3038,124.9112,68.09,95,100,3.31
216,Yarada,IN,2021-05-31 21:04:32,17.65,83.2667,79.12,94,90,7.72
217,Eureka,US,2021-05-31 21:04:32,40.8021,-124.1637,74.12,62,30,5.01
218,Jumla,NP,2021-05-31 21:03:04,29.2747,82.1838,53.31,91,4,4.52
219,Kunming,CN,2021-05-31 21:04:33,25.0389,102.7183,64.98,85,33,4.9
220,Jiaozuo,CN,2021-05-31 21:04:33,35.2397,113.2331,72.93,63,100,2.37
221,Kaitangata,NZ,2021-05-31 21:04:34,-46.2817,169.8464,46.92,83,78,6.22
222,Mananara,MG,2021-05-31 21:04:34,-16.1667,49.7667,69.55,93,12,3.53
223,Buala,SB,2021-05-31 21:04:35,-8.145,159.5921,80.56,84,100,7.34
224,Nador,MA,2021-05-31 21:04:35,35.174,-2.9287,68.25,83,0,4.27
225,Nouadhibou,MR,2021-05-31 21:04:35,20.931,-17.0347,65.35,90,64,25.95
226,Brooks,CA,2021-05-31 21:00:04,50.5834,-111.8851,75.04,31,16,13.42
227,Maniitsoq,GL,2021-05-31 21:04:36,65.4167,-52.9,33.42,97,100,4.54
228,Bengkulu,ID,2021-05-31 21:04:36,-3.8004,102.2655,75.54,92,99,3.47
229,Elko,US,2021-05-31 21:04:37,41.0002,-115.5012,77.65,8,13,1.99
230,Yerofey Pavlovich,RU,2021-05-31 21:04:37,53.9667,121.9667,49.98,96,100,11.45
231,Sarai Mir,IN,2021-05-31 21:04:37,26.0167,82.9167,89.33,53,11,6.26
232,Beloha,MG,2021-05-31 21:04:38,-25.1667,45.05,65.28,72,73,7.47
233,Kloulklubed,PW,2021-05-31 21:04:38,7.0419,134.2556,81.1,78,100,17.83
234,Isla Mujeres,MX,2021-05-31 21:00:07,21.2311,-86.731,87.85,65,50,10.04
235,Samarai,PG,2021-05-31 21:04:38,-10.6167,150.6667,78.37,75,85,19.51
236,Kisiwani,TZ,2021-05-31 21:04:39,-4.1333,37.95,66.15,93,57,1.19
237,Esperance,AU,2021-05-31 21:04:39,-33.8667,121.9,57.04,78,95,22.15
238,Uyuni,BO,2021-05-31 21:04:40,-20.4597,-66.825,44.28,15,87,7.78
239,Valle De Allende,MX,2021-05-31 21:04:40,26.9333,-105.4,89.47,10,90,5.23
240,Belem,BR,2021-05-31 21:04:40,-1.4558,-48.5044,78.12,89,53,4.79
