City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Cape Town,ZA,72.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
114,Kavieng,PG,81.77,light rain,-2.5744,150.7967,Nusa Island Retreat
116,Isangel,VU,71.13,scattered clouds,-19.55,169.2667,Tanna Lodge
117,Hilo,US,72.81,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
121,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Vanimo,PG,78.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
130,Rosh Pinna,IL,74.61,clear sky,32.9689,35.5426,Spa Hotel Mizpe Hayamim
136,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
137,Cockburn Town,TC,79.48,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
139,Bengkulu,ID,81.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
147,Marsh Harbour,BS,78.84,clear sky,26.5412,-77.0636,Abaco Beach Resort
151,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
153,Kirakira,SB,79.0,moderate rain,-10.4544,161.9205,SanBiz Lodge
154,Vao,NC,71.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
155,Rabaul,PG,80.17,light rain,-4.1967,152.1721,Rabaul Hotel
162,Tual,ID,82.18,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
163,Morondava,MG,77.72,few clouds,-20.2833,44.2833,La Case Bambou
168,Callaway,US,79.92,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
171,Tezu,IN,76.8,broken clouds,27.9167,96.1667,Circuit House
180,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
181,Ranong,TH,82.33,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
182,Great Falls,US,72.41,clear sky,47.5002,-111.3008,Extended Stay America - Great Falls - Missouri River
183,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
186,Patrocinio,BR,75.96,clear sky,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
193,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
199,Gizo,SB,81.54,broken clouds,-8.103,156.8419,Imagination Island
200,Limon,CR,75.09,moderate rain,10.0,-83.0333,Hotel Playa Bonita
201,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
205,Los Barrios,ES,75.02,few clouds,36.1848,-5.4921,Hotel Montera Plaza
206,Raudeberg,NO,76.6,broken clouds,61.9875,5.1352,Nordre Silda.
208,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
